btc_total_bitcoins,btc_market_cap,btc_trade_volume,btc_avg_block_size,btc_n_orphaned_blocks,btc_n_transactions_per_block,btc_median_confirmation_time,btc_hash_rate,btc_difficulty,btc_miners_revenue,btc_transaction_fees,btc_cost_per_transaction_percent,btc_n_unique_addresses,btc_n_transactions,btc_estimated_transaction_volume,btc_transaction_to_trade_ratio,btc_market_price_label
-2.086548827,-0.514983523,-0.413767307,-0.928665879,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.037431306,-0.905718062,-0.930737378,-0.713264055,1.542788912,1
-2.085777148,-0.514983523,-0.413767307,-0.928666061,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.037431306,-0.905751231,-0.930800339,-0.713264055,1.54310667,1
-2.08506059,-0.514983523,-0.413767307,-0.928665788,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.037431306,-0.905778872,-0.930852807,-0.713264055,1.543371469,1
-2.084277887,-0.514983523,-0.413767307,-0.928666513,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.037431306,-0.905745703,-0.930789846,-0.713264055,1.54305371,1
-2.083517233,-0.514983523,-0.413767307,-0.928339944,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.03705757,-0.905745703,-0.930716391,-0.64671213,1.447832147,1
-2.082745554,-0.514983523,-0.413767307,-0.928666711,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.037431306,-0.905751231,-0.930800339,-0.713264055,1.54310667,1
-2.081973876,-0.514983523,-0.413767307,-0.92858671,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.024306819,-0.905734647,-0.930768859,-0.711341444,1.542471153,1
-2.081058886,-0.514983523,-0.413767307,-0.928665857,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.037431306,-0.905679365,-0.930663924,-0.713264055,1.542418194,1
-2.080000584,-0.514983523,-0.413767307,-0.928666025,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.037431306,-0.905607499,-0.930527508,-0.713264055,1.541729717,1
-2.078898186,-0.514983523,-0.413767307,-0.928665701,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.037431306,-0.905585386,-0.930485534,-0.713264055,1.541517879,1
-2.077895004,-0.514983523,-0.413767307,-0.928665728,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.037431306,-0.905635139,-0.930579976,-0.713264055,1.541994516,1
-2.07702411,-0.514983523,-0.413767307,-0.928666143,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.037431306,-0.905701478,-0.930705898,-0.713264055,1.542630032,1
-2.076219359,-0.514983523,-0.413767307,-0.928666756,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.037431306,-0.905734647,-0.930768859,-0.713264055,1.542947791,1
-2.075315393,-0.514983523,-0.413767307,-0.928252337,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.037251042,-0.905673837,-0.93065343,-0.549287506,1.495495888,1
-2.074466547,-0.514983523,-0.413767307,-0.928665628,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.037431306,-0.905712534,-0.930726885,-0.713264055,1.542735952,1
-2.073364149,-0.514983523,-0.413767307,-0.928665701,-0.431028954,-0.915692189,-1.381113144,-0.470242595,-0.475987748,-0.700131766,-0.563096524,-0.037431306,-0.905585386,-0.930485534,-0.713264055,1.541517879,1
