btc_total_bitcoins,btc_market_cap,btc_trade_volume,btc_avg_block_size,btc_n_orphaned_blocks,btc_n_transactions_per_block,btc_median_confirmation_time,btc_hash_rate,btc_difficulty,btc_miners_revenue,btc_transaction_fees,btc_cost_per_transaction_percent,btc_n_unique_addresses,btc_n_transactions,btc_estimated_transaction_volume,btc_transaction_to_trade_ratio,btc_market_price_label
-2.089944212,-0.5149835229,-0.4137673068,-0.9286669671,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.9059557742,-0.9311885983,-0.7132640549,1.5450661792,0
-2.0893158452,-0.5149835229,-0.4137673068,-0.9286658253,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.9058230977,-0.9309367545,-0.7132640549,1.5437951462,0
-2.0886323586,-0.5149835229,-0.4137673068,-0.928666718,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.9057954568,-0.930884287,-0.7132640549,1.5435303476,0
-2.087926824,-0.5149835229,-0.4137673068,-0.9284314093,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0370287408,-0.9057788723,-0.9308528065,-0.6559554526,1.5270069172,0
-2.0873866491,-0.5149835229,-0.4137673068,-0.928666061,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.9058673232,-0.9310207024,-0.7132640549,1.544218824,0
-2.0865488267,-0.5149835229,-0.4137673068,-0.9286658785,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.9057180622,-0.9307373781,-0.7132640549,1.5427889116,0
-2.0857771482,-0.5149835229,-0.4137673068,-0.928666061,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.9057512313,-0.9308003391,-0.7132640549,1.5431066699,0
-2.0850605897,-0.5149835229,-0.4137673068,-0.9286657876,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.9057788723,-0.9308528065,-0.7132640549,1.5433714685,0
-2.0842778872,-0.5149835229,-0.4137673068,-0.9286665127,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.9057457031,-0.9307898456,-0.7132640549,1.5430537102,0
-2.0835172327,-0.5149835229,-0.4137673068,-0.9283399439,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0370575703,-0.9057457031,-0.9307163911,-0.6467121297,1.4478321466,0
-2.0827455543,-0.5149835229,-0.4137673068,-0.9286667111,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.9057512313,-0.9308003391,-0.7132640549,1.5431066699,0
-2.0819738758,-0.5149835229,-0.4137673068,-0.9285867102,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0243068193,-0.9057346468,-0.9307688586,-0.7113414438,1.5424711533,0
-2.0810588856,-0.5149835229,-0.4137673068,-0.9286658574,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.9056793649,-0.9306639237,-0.7132640549,1.5424181935,0
