Date,btc_market_price,btc_total_bitcoins,btc_market_cap,btc_trade_volume,btc_blocks_size,btc_avg_block_size,btc_n_orphaned_blocks,btc_n_transactions_per_block,btc_median_confirmation_time,btc_hash_rate,btc_difficulty,btc_miners_revenue,btc_transaction_fees,btc_cost_per_transaction_percent,btc_cost_per_transaction,btc_n_unique_addresses,btc_n_transactions,btc_n_transactions_total,btc_n_transactions_excluding_popular,btc_n_transactions_excluding_chains_longer_than_100,btc_output_volume,btc_estimated_transaction_volume,btc_estimated_transaction_volume_usd
2014-08-24,0.1491345116,0.5269332324,0.0498688599,-0.2689775319,-0.1889967285,-0.3029133672,-0.4310289537,-0.2799295566,-0.0017479388,-0.3424712969,-0.3562260271,0.5862698069,-0.4507925147,-0.0372955722,2.0638597234,0.1086432775,-0.3541514736,-0.1603998814,-0.3025363593,-0.339391855,-0.4282611716,-0.4950661734,-0.3422190609
2014-08-25,0.1395353465,0.527671839,0.0423131896,-0.2576852557,-0.1879857708,-0.0583453216,0.7585783666,-0.3363025979,0.2721451521,-0.3658440953,-0.3562260271,0.3389345877,-0.3771860318,-0.0373727201,1.097762648,-0.0861976417,-0.2346515868,-0.1594695399,-0.1923627245,-0.2328062438,-0.2730975022,-0.2992925934,-0.2074507461
2014-08-26,0.15194806,0.5285868292,0.0524475934,-0.2224240317,-0.1868683965,-0.1487877897,1.9481856869,-0.4380872559,-0.0314471896,-0.3409131104,-0.3562260271,0.6086996486,-0.3931543482,-0.0373460627,1.3551473255,5.31179169426892E-05,-0.1558664489,-0.15843402,-0.1082641437,-0.1786495702,0.1705412661,-0.3611747919,-0.2463178454
2014-08-27,0.1547754003,0.5294742594,0.0548898775,-0.244423585,-0.1857776263,-0.1494936823,-0.4310289537,-0.2266883509,-0.080945941,-0.3448085768,-0.3562260271,0.5738440722,-0.4124532938,-0.0373632266,1.2846805088,-0.0168852443,-0.1516795456,-0.1573929106,-0.1265323579,-0.1609324218,0.0057318632,-0.2858564991,-0.1915021051
2014-08-28,0.1472588127,0.5304719294,0.0490506741,-0.258051219,-0.1847134604,-0.2514023909,4.3274003275,-0.1342991999,-0.1502441929,-0.3292267112,-0.3562260271,0.7162015091,-0.4247817906,-0.0373630518,1.699766845,0.0119497744,-0.2053012897,-0.1564233863,-0.1578224226,-0.2025237419,-0.3201377283,-0.2342417838,-0.1582477726
2014-08-29,0.1508447077,0.5313869196,0.0521078358,-0.2770499302,-0.183755711,-0.2566152709,3.1377930072,-0.2078973371,-0.0248473561,-0.3409131104,-0.3562260271,0.605716033,-0.4305125564,-0.0373206339,1.5541186744,-0.1013006461,-0.2215032413,-0.1554754918,-0.1704993927,-0.1975761339,-0.408739466,-0.4422683127,-0.304328716
2014-08-30,0.1396594736,0.5323349817,0.043306789,-0.3217028834,-0.1828511699,-0.315363027,1.9481856869,-0.2533089538,-0.176643527,-0.3362385507,-0.3562260271,0.6310622814,-0.4366549161,-0.0373666348,1.748377995,-0.0991059562,-0.2616933157,-0.1545812511,-0.2063147073,-0.2614238365,-0.3577867323,-0.232895956,-0.1609701959
2014-08-31,0.1039384424,0.5334098196,0.0148055184,0.1530281952,-0.1819466288,-0.391529746,3.1377930072,-0.2141610084,-0.1436443594,-0.3183194053,-0.3562260271,0.7311433883,-0.4460451973,-0.0372932993,2.1356488265,0.0463793175,-0.3045382435,-0.1537442085,-0.2582766986,-0.287496945,-0.4008801361,-0.4581224603,-0.3276353053
2014-09-01,0.1102965101,0.534236618,0.0200670241,-0.248804226,-0.1809622753,-0.1631641678,1.9481856869,-0.2893250635,0.2919446527,-0.3358134207,-0.3382253033,0.4123782138,-0.4294060409,-0.0373473237,1.2424296138,-0.0073214823,-0.2368132461,-0.1528167529,-0.2054995353,-0.2375967849,-0.3385526035,-0.3904835203,-0.2807035681
2014-09-02,0.1117584519,0.5350248324,0.0213873058,-0.2239220303,-0.1798715051,-0.0586836069,1.9481856869,-0.3503958583,0.2226464008,-0.3420867821,-0.3382253033,0.363225565,-0.415044949,-0.0373721937,1.0000735343,-0.0569756499,-0.1808409598,-0.151814574,-0.1581359503,-0.1528277688,-0.3883519458,-0.275903289,-0.2033220653
2014-09-03,0.0967390686,0.5359012387,0.00946788,-0.3471123461,-0.1788073391,-0.1494638426,0.7585783666,-0.1844085699,0.0345511456,-0.3277476702,-0.3382253033,0.4552240916,-0.4167126408,-0.0373522408,1.1468076746,-0.0867615166,-0.1756256943,-0.1508054328,-0.1588048094,-0.162958585,-0.4153352511,-0.3498018073,-0.2584160647
