Date(UTC),UnixTimeStamp,eth_etherprice,eth_tx,eth_address,eth_supply,eth_marketcap,eth_hashrate,eth_difficulty,eth_blocks,eth_uncles,eth_blocksize,eth_blocktime,eth_gasprice,eth_gaslimit,eth_gasused,eth_ethersupply,eth_ens_register
2015-09-05,-1.5680763998,-0.5514027288,-0.7322026482,-0.6499046195,-1.5216133346,-0.54471566,-0.5865282583,-0.4967813405,-0.6954604052,-0.9317147865,-0.572991411,0.4735361752,0.2918446439,-0.6975359907,-0.6637560329,-0.7938976341,-0.2022783039
2015-09-06,-1.5637326979,-0.5516970726,-0.7321830491,-0.6498401773,-1.5178559074,-0.5449408128,-0.5861699016,-0.4966689921,-0.6188854258,-0.4912373679,-0.5774503728,0.3751732596,0.2977454849,-0.6975904683,-0.6669406113,-0.6576262104,-0.5380999139
2015-09-07,-1.5593889959,-0.5518933018,-0.7304093265,-0.6497240789,-1.514200113,-0.5450899006,-0.5865518555,-0.4966144229,-0.8123380053,-0.5036451825,-0.572991411,0.5718990908,0.2703107394,-0.6976140262,-0.6615575631,-0.8365046657,-0.5380999139
2015-09-08,-1.555045294,-0.552089531,-0.7311932923,-0.6496601481,-1.5104822845,-0.5452390361,-0.5868557459,-0.4970349269,-0.6927735638,-0.4726256459,-0.5716537225,0.4667525258,0.4783037188,-0.6974726788,-0.6637235079,-0.7273216792,-0.5380999139
2015-09-09,-1.5507015921,-0.5525801041,-0.7313696846,-0.6495701336,-1.5066876144,-0.5456173497,-0.5862906697,-0.4968343048,-0.5423104464,-0.4912373679,-0.570316034,0.3514304869,0.2737179303,-0.6976633505,-0.6610510747,-0.5920769309,-0.5380999139
2015-09-10,-1.5463578901,-0.5534631355,-0.7339469721,-0.649517966,-1.5028905662,-0.5463015698,-0.5861769852,-0.4966930668,-0.5852999085,-0.2554888903,-0.578119217,0.3717814349,0.2893225667,-0.6975381992,-0.6671766413,-0.5878912541,-0.5380999139
2015-09-11,-1.5420141882,-0.5549348546,-0.7229812507,-0.649422837,-1.4989792765,-0.5474448176,-0.5852126926,-0.4962565129,-0.3999078531,-0.0817794858,-0.5767815285,0.2123656752,0.3091919512,-0.6976464183,-0.663645966,-0.3868208137,0.0745958958
2015-09-12,-1.5376704862,-0.5538555939,-0.7314480811,-0.6493481658,-1.4951884205,-0.5466009265,-0.5849048805,-0.4958215641,-0.5544012326,-0.5284608117,-0.5712078263,0.3480386622,0.4213921288,-0.6977215091,-0.6586239082,-0.598789809,-0.2022783039
2015-09-13,-1.5333267843,-0.5561122299,-0.7269304783,-0.6492412735,-1.4914305446,-0.5483571688,-0.5846565374,-0.4955182234,-0.6282893706,-0.4416061094,-0.5705389821,0.3955242077,0.2468167232,-0.6977222453,-0.6602913976,-0.65683646,-0.5380999139
2015-09-14,-1.5289830824,-0.5554254276,-0.7316832709,-0.6491609765,-1.4877564204,-0.5478191624,-0.5858344929,-0.4961537944,-0.7894998535,-0.3981787583,-0.5689783455,0.517629896,0.2735783657,-0.6975514505,-0.66142728,-0.8042433637,0.0745958958
2015-09-15,-1.5246393804,-0.5555235422,-0.7332806012,-0.6490730077,-1.4840783924,-0.5478931386,-0.5863424501,-0.4964860247,-0.8015906398,-0.2865084268,-0.5725455149,0.5651154414,0.2629151258,-0.6975794255,-0.6658331143,-0.7973725356,-0.5380999139
2015-09-16,-1.5202956785,-0.5554254276,-0.7287433992,-0.6490024281,-1.4802994496,-0.5478139544,-0.5865105419,-0.4968712193,-0.648440681,-0.0755755784,-0.5761126843,0.4192669804,1.3328830239,-0.6975647019,-0.6662943509,-0.6197576809,-0.4862976443
2015-09-17,-1.5159519765,-0.5558178861,-0.7336823836,-0.6489477033,-1.4766472225,-0.5481177998,-0.5872495353,-0.4970943111,-0.8472669433,-0.3237318706,-0.572991411,0.6193846362,0.3077999587,-0.6975838426,-0.666112326,-0.842783181,-0.2022783039
2015-09-18,-1.5116082746,-0.5565046883,-0.7294293692,-0.6488592231,-1.4729280702,-0.5486516932,-0.587836803,-0.4977154373,-0.7384498673,-0.1314107442,-0.5658570722,0.5040625973,0.3089965678,-0.6976994236,-0.6535367997,-0.7249919156,-0.4862976443
2015-09-19,-1.5072645727,-0.5560141153,-0.7352797139,-0.6488044983,-1.4690254182,-0.5482660075,-0.5875834055,-0.4978839599,-0.4845433567,0.4083291913,-0.5770044766,0.276810344,0.2344552612,-0.6977156196,-0.6653612777,-0.4020235081,-0.5380999139
2015-09-20,-1.5029208707,-0.5557197714,-0.7235496259,-0.648741079,-1.4650074702,-0.5480333256,-0.5854518012,-0.4968343048,-0.1795868598,-0.2182654465,-0.5700930859,-0.0148865781,0.2577648927,-0.6974034775,-0.6547788568,-0.1990971544,-0.5380999139
2015-09-21,-1.4985771688,-0.5560141153,-0.7245001844,-0.6486730566,-1.4611806052,-0.5482608711,-0.5853396257,-0.4962902175,-0.4885736188,-0.5222569044,-0.5671947607,0.26663487,0.2258650479,-0.69744544,-0.6577475933,-0.535412343,-0.5380999139
2015-09-22,-1.4942334669,-0.5563084591,-0.7196101978,-0.6486050343,-1.457394169,-0.5484886092,-0.585280389,-0.4961570043,-0.5208157153,-0.7828210112,-0.5609522143,0.3107285908,0.2312593522,-0.6976434736,-0.6538151298,-0.6065688499,-0.5380999139
2015-09-23,-1.4898897649,-0.5560141153,-0.7137304544,-0.6485272944,-1.4535057859,-0.548255846,-0.5842790846,-0.4957220555,-0.3676657566,-0.5594803482,-0.5660800203,0.1682719544,0.2361644057,-0.6975367269,-0.6563019963,-0.4271375694,-0.2022783039
2015-09-24,-1.485546063,-0.5567009175,-0.7252939497,-0.6484582492,-1.4497171286,-0.54879093,-0.5844625167,-0.4955069885,-0.5611183361,-0.5160529971,-0.5665259165,0.3446468375,0.2825717176,-0.6975278927,-0.6591074425,-0.6026595857,-0.5380999139
